algorytm,reprezentacja,rozmiar,gestosc,powtorzenie,czas(ms),koszt
Kruskal,List,400,0.25,14,2.197,750
Dijkstra,Matrix,400,0.25,14,31.652,4938
Dijkstra,List,400,0.25,14,1.891,4346
BellmanFord,Matrix,400,0.25,14,36.064,4938
BellmanFord,List,400,0.25,14,44.669,4346
Prim,Matrix,400,0.25,15,18.496,717
Prim,List,400,0.25,15,1.999,746
Kruskal,Matrix,400,0.25,15,1.331,717
Kruskal,List,400,0.25,15,1.991,746
Dijkstra,Matrix,400,0.25,15,33.486,7114
Dijkstra,List,400,0.25,15,2.523,7682
BellmanFord,Matrix,400,0.25,15,38.901,7114
BellmanFord,List,400,0.25,15,38.346,7682
Prim,Matrix,400,0.25,16,20.776,761
Prim,List,400,0.25,16,2.614,788
Kruskal,Matrix,400,0.25,16,1.438,761
Kruskal,List,400,0.25,16,2.739,788
Dijkstra,Matrix,400,0.25,16,32.76,4017
Dijkstra,List,400,0.25,16,2.326,7869
BellmanFord,Matrix,400,0.25,16,39.317,4017
BellmanFord,List,400,0.25,16,39.283,7869
Prim,Matrix,400,0.25,17,20.125,753
Prim,List,400,0.25,17,2.664,746
Kruskal,Matrix,400,0.25,17,1.344,753
Kruskal,List,400,0.25,17,2.519,746
Dijkstra,Matrix,400,0.25,17,31.438,4073
Dijkstra,List,400,0.25,17,2.125,5201
BellmanFord,Matrix,400,0.25,17,37.193,4073
BellmanFord,List,400,0.25,17,39.627,5201
Prim,Matrix,400,0.25,18,19.413,749
Prim,List,400,0.25,18,2.115,808
Kruskal,Matrix,400,0.25,18,1.314,749
Kruskal,List,400,0.25,18,1.959,808
Dijkstra,Matrix,400,0.25,18,31.066,4357
Dijkstra,List,400,0.25,18,1.96,2807
BellmanFord,Matrix,400,0.25,18,36.334,4357
BellmanFord,List,400,0.25,18,36.787,2807
Prim,Matrix,400,0.25,19,19.431,758
Prim,List,400,0.25,19,2.426,728
Kruskal,Matrix,400,0.25,19,1.45,758
Kruskal,List,400,0.25,19,2.755,728
Dijkstra,Matrix,400,0.25,19,31.053,5038
Dijkstra,List,400,0.25,19,2.282,9443
BellmanFord,Matrix,400,0.25,19,40.745,5038
BellmanFord,List,400,0.25,19,38.584,9443
Prim,Matrix,400,0.25,20,18.461,778
Prim,List,400,0.25,20,2.038,680
Kruskal,Matrix,400,0.25,20,1.315,778
Kruskal,List,400,0.25,20,1.881,680
Dijkstra,Matrix,400,0.25,20,31.185,5920
Dijkstra,List,400,0.25,20,1.928,3917
BellmanFord,Matrix,400,0.25,20,36.096,5920
BellmanFord,List,400,0.25,20,36.947,3917
Prim,Matrix,400,0.25,21,18.331,717
Prim,List,400,0.25,21,1.993,754
Kruskal,Matrix,400,0.25,21,1.524,717
Kruskal,List,400,0.25,21,2.416,754
Dijkstra,Matrix,400,0.25,21,31.783,9657
Dijkstra,List,400,0.25,21,1.979,9919
BellmanFord,Matrix,400,0.25,21,38.606,9657
BellmanFord,List,400,0.25,21,38.303,9919
Prim,Matrix,400,0.25,22,19.424,755
Prim,List,400,0.25,22,2.668,713
Kruskal,Matrix,400,0.25,22,1.247,755
Kruskal,List,400,0.25,22,2.152,713
Dijkstra,Matrix,400,0.25,22,31.765,6276
Dijkstra,List,400,0.25,22,3.509,5382
BellmanFord,Matrix,400,0.25,22,39.43,6276
BellmanFord,List,400,0.25,22,40.354,5382
Prim,Matrix,400,0.25,23,19.874,718
Prim,List,400,0.25,23,2.519,743
Kruskal,Matrix,400,0.25,23,1.387,718
Kruskal,List,400,0.25,23,2.179,743
Dijkstra,Matrix,400,0.25,23,31.633,2413
